date,time,code,open,high,low,close,volume,amount,adjustflag
2022-04-01,20220401100000000,sh.600000,7.9500,8.0000,7.9400,7.9700,5736967,45699333.0000,3
2022-04-01,20220401103000000,sh.600000,7.9700,8.0500,7.9600,8.0000,7377693,59161211.0000,3
2022-04-01,20220401110000000,sh.600000,8.0000,8.0600,8.0000,8.0400,4041487,32485684.0000,3
2022-04-01,20220401113000000,sh.600000,8.0500,8.0500,8.0300,8.0400,1718700,13817739.0000,3
2022-04-01,20220401133000000,sh.600000,8.0300,8.0400,8.0100,8.0200,2338300,18774700.0000,3
2022-04-01,20220401140000000,sh.600000,8.0300,8.0500,8.0100,8.0400,2560500,20566872.0000,3
2022-04-01,20220401143000000,sh.600000,8.0400,8.0600,8.0300,8.0600,2444421,19665337.0000,3
2022-04-01,20220401150000000,sh.600000,8.0500,8.0700,8.0400,8.0700,5663277,45652899.0000,3
2022-04-06,20220406100000000,sh.600000,8.0000,8.1300,8.0000,8.1100,11857127,95829753.0000,3
2022-04-06,20220406103000000,sh.600000,8.1100,8.1300,8.0900,8.1000,4101917,33254692.0000,3
2022-04-06,20220406110000000,sh.600000,8.0900,8.1000,8.0800,8.0900,3169996,25642319.0000,3
2022-04-06,20220406113000000,sh.600000,8.0900,8.1800,8.0800,8.1600,6184357,50290059.0000,3
2022-04-06,20220406133000000,sh.600000,8.1600,8.1800,8.1500,8.1700,4114358,33607115.0000,3
2022-04-06,20220406140000000,sh.600000,8.1700,8.1800,8.1600,8.1600,3349954,27375104.0000,3
2022-04-06,20220406143000000,sh.600000,8.1600,8.1600,8.1200,8.1400,4528265,36876046.0000,3
2022-04-06,20220406150000000,sh.600000,8.1400,8.1700,8.1300,8.1700,5240143,42726736.0000,3
2022-04-07,20220407100000000,sh.600000,8.1600,8.1800,8.1300,8.1300,7097542,57874716.0000,3
2022-04-07,20220407103000000,sh.600000,8.1400,8.1500,8.1300,8.1400,3512602,28594395.0000,3
2022-04-07,20220407110000000,sh.600000,8.1400,8.1600,8.1000,8.1200,5406868,43947133.0000,3
2022-04-07,20220407113000000,sh.600000,8.1100,8.1300,8.0700,8.0900,4017079,32517425.0000,3
2022-04-07,20220407133000000,sh.600000,8.0900,8.0900,8.0600,8.0900,2982975,24085536.0000,3
2022-04-07,20220407140000000,sh.600000,8.0800,8.1000,8.0700,8.0900,2333626,18870653.0000,3
2022-04-07,20220407143000000,sh.600000,8.0900,8.1200,8.0800,8.1000,2185030,17709710.0000,3
2022-04-07,20220407150000000,sh.600000,8.1000,8.1100,8.0600,8.0700,4176421,33750300.0000,3
2022-04-08,20220408100000000,sh.600000,8.0700,8.1000,8.0700,8.0800,4635399,37459453.0000,3
2022-04-08,20220408103000000,sh.600000,8.0900,8.0900,8.0300,8.0600,6084892,49020461.0000,3
